"siteID"	"xcoord"	"ycoord"	"wgt"	"Lake_Origin"	"Chla"	"OE5"	"PTL"	"NTL"	"Turbidity"	"Chla_cond"	"OE5_cond"	"PTL_cond"	"NTL_cond"	"Turbidity_cond"
"NLA06608-2477"	-1670522.37449508	1784108.85734261	0.941492486	"Man-Made"	1.832	0.763066	32	1238	2.52	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2481"	-1850929.62220859	2562015.22730074	168.5476261	"Man-Made"	0.952	0.905261	36	421	8.75	"Good"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-2497"	-1564924.9280476	2952431.50283265	3.664950899	"Man-Made"	20.914	1.007598	64	868	6.16	"Poor"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-2513"	-1999152.33891168	2963605.44068851	2.337088279	"Natural"	3.541	0.650252	5	259	0.795	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2634"	-1062332.3650661	2514895.74504048	40.31619797	"Natural"	1.17	0.741705	16	278	0.981	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2655"	-1100903.16084325	2044680.72923396	11.3503748	"Man-Made"	29.457	0.477912	102	2286	3.15	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-2673"	-1787635.07926198	2582877.10925543	16.39814678	"Natural"	1.331	0.586838	72	423	0.53	"Good"	"Poor"	"Poor"	"Poor"	"Good"
"NLA06608-2685"	-1248295.30598566	2061983.63556533	12.23691498	"Man-Made"	2.432	0.572163	7	169	2.41	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-2726"	-2042558.21264742	2581003.77445627	10.83066738	"Natural"	1.179	0.99889	5	191	0.61	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2753"	-1628577.23949898	2917434.84908893	2.337088279	"Natural"	3.392	0.241109	16	1496	1.88	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-2797"	-1580849.66779562	1804971.34215918	2.549720428	"Man-Made"	2.016	0.456561	24	664	3.27	"Good"	"Poor"	"Good"	"Good"	"Good"
